"Year","Month","State","Inflation","Actual_IIP","Potential_IIP","Output_Gap","M3","monthly_exc_rate","CPI","fiscal_deficit","outright_tb","iip","piip","outputgap","tb_rate","Date","log_M3","M3_Lakh_Crores","monthly_inflation_rate"
"2014","01","ALL India",8.6,4.8,4.13,0.67,9295875,62.08,113.6,16452,30525,118,109.59,8.41,8.69,2014-01-01,92.95875,92.95875,NA
"2014","02","ALL India",7.88,5.2,4.12,1.08,9363800,62.25,113.6,66457,21526,111.2,110.02,1.18,8.97,2014-02-01,93.638,93.638,0
"2014","03","ALL India",8.25,2.9,4.11,-1.21,9517386,61.01,114.2,-91150,24334,121.5,110.46,11.04,8.95,2014-03-01,95.17386,95.17386,0.528169014084523
"2014","04","ALL India",8.48,3.9,4.1,-0.2,9687535,60.36,115.1,113454,26041,107.2,110.9,-3.7,8.94,2014-04-01,96.87535,96.87535,0.788091068301222
"2014","05","ALL India",8.33,4.7,4.09,0.61,9766351,59.31,115.8,127383,27075,110.8,111.35,-0.55,8.78,2014-05-01,97.66351,97.66351,0.608166811468291
"2014","06","ALL India",6.77,8.3,4.08,4.22,9774040,59.73,116.7,57022,23010,109.9,111.79,-1.89,8.64,2014-06-01,97.7404,97.7404,0.777202072538863
"2014","07","ALL India",7.39,5.4,4.07,1.33,9818913,60.06,119.2,27065,17575,115.3,112.25,3.05,8.67,2014-07-01,98.18913,98.18913,2.14224507283634
"2014","08","ALL India",7.03,3.5,4.06,-0.56,9884810,60.9,120.3,73005,14902,108.6,112.7,-4.1,8.7,2014-08-01,98.8481,98.8481,0.922818791946312
"2014","09","ALL India",5.63,4.3,4.05,0.25,9931701,60.86,120.1,40897,17801,108.2,113.17,-4.97,8.65,2014-09-01,99.31701,99.31701,-0.166251039068999
"2014","10","ALL India",4.62,0.3,4.05,-3.75,10120226,61.34,120.1,36925,19578,100.3,113.64,-13.34,8.53,2014-10-01,101.20226,101.20226,0
"2014","11","ALL India",3.27,7.4,4.04,3.36,10165697,61.7,120.1,49383,20296,110.8,114.13,-3.33,8.31,2014-11-01,101.65697,101.65697,0
